Age,Gender,Education Level,Job Title,Years of Experience,Salary
24.0,Male,Bachelor's Degree,Data Analyst,4.0,47975
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,92229
25.0,Female,Bachelor's Degree,Data Analyst,4.0,50332
30.0,Female,PhD,Senior Data Scientist,10.0,239414
31.0,Male,Bachelor's Degree,Data Analyst,4.0,45154
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,86638
26.0,Male,Bachelor's Degree,Data Analyst,4.0,50990
29.0,Female,Master's Degree,Senior Data Scientist,10.0,173748
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82458
33.0,Female,Master's Degree,Director,18.0,315608
24.0,Male,Bachelor's Degree,Data Analyst,4.0,50821
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,94076
25.0,Female,Bachelor's Degree,Data Analyst,4.0,48816
30.0,Female,PhD,Senior Data Scientist,10.0,223481
31.0,Male,Bachelor's Degree,Data Analyst,4.0,47716
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,93054
26.0,Male,Bachelor's Degree,Data Analyst,4.0,45697
29.0,Female,Master's Degree,Senior Data Scientist,10.0,200109
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,78009
33.0,Female,Master's Degree,Director,18.0,311562
24.0,Male,Bachelor's Degree,Data Analyst,4.0,46919
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82356
25.0,Female,Bachelor's Degree,Data Analyst,4.0,50353
30.0,Female,PhD,Senior Data Scientist,10.0,202372
31.0,Male,Bachelor's Degree,Data Analyst,4.0,47632
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,85748
26.0,Male,Bachelor's Degree,Data Analyst,4.0,50086
29.0,Female,Master's Degree,Senior Data Scientist,10.0,202658
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82173
33.0,Female,Master's Degree,Director,18.0,306250
24.0,Male,Bachelor's Degree,Data Analyst,4.0,47234
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,91172
25.0,Female,Bachelor's Degree,Data Analyst,4.0,46332
30.0,Female,PhD,Senior Data Scientist,10.0,231812
31.0,Male,Bachelor's Degree,Data Analyst,4.0,50948
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,91760
26.0,Male,Bachelor's Degree,Data Analyst,4.0,50293
29.0,Female,Master's Degree,Senior Data Scientist,10.0,191669
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,87540
33.0,Female,Master's Degree,Director,18.0,311676
24.0,Male,Bachelor's Degree,Data Analyst,4.0,49264
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82716
25.0,Female,Bachelor's Degree,Data Analyst,4.0,49838
30.0,Female,PhD,Senior Data Scientist,10.0,203167
31.0,Male,Bachelor's Degree,Data Analyst,4.0,47246
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,82205
26.0,Male,Bachelor's Degree,Data Analyst,4.0,52217
29.0,Female,Master's Degree,Senior Data Scientist,10.0,207970
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,91297
33.0,Female,Master's Degree,Director,18.0,325244
24.0,Male,Bachelor's Degree,Data Analyst,4.0,47397
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,89845
25.0,Female,Bachelor's Degree,Data Analyst,4.0,54388
30.0,Female,PhD,Senior Data Scientist,10.0,215858
31.0,Male,Bachelor's Degree,Data Analyst,4.0,44780
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,86084
26.0,Male,Bachelor's Degree,Data Analyst,4.0,49742
29.0,Female,Master's Degree,Senior Data Scientist,10.0,183134
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82229
33.0,Female,Master's Degree,Director,18.0,325557
24.0,Male,Bachelor's Degree,Data Analyst,4.0,48597
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,91280
25.0,Female,Bachelor's Degree,Data Analyst,4.0,46754
30.0,Female,PhD,Senior Data Scientist,10.0,209856
31.0,Male,Bachelor's Degree,Data Analyst,4.0,49768
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,82741
26.0,Male,Bachelor's Degree,Data Analyst,4.0,52030
29.0,Female,Master's Degree,Senior Data Scientist,10.0,200805
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,91301
33.0,Female,Master's Degree,Director,18.0,312054
24.0,Male,Bachelor's Degree,Data Analyst,4.0,47616
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,79863
25.0,Female,Bachelor's Degree,Data Analyst,4.0,51864
30.0,Female,PhD,Senior Data Scientist,10.0,232707
31.0,Male,Bachelor's Degree,Data Analyst,4.0,45580
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,91338
26.0,Male,Bachelor's Degree,Data Analyst,4.0,47819
29.0,Female,Master's Degree,Senior Data Scientist,10.0,173889
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,94014
33.0,Female,Master's Degree,Director,18.0,279040
24.0,Male,Bachelor's Degree,Data Analyst,4.0,48670
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,84164
25.0,Female,Bachelor's Degree,Data Analyst,4.0,49289
30.0,Female,PhD,Senior Data Scientist,10.0,223741
31.0,Male,Bachelor's Degree,Data Analyst,4.0,51666
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,90121
26.0,Male,Bachelor's Degree,Data Analyst,4.0,52996
29.0,Female,Master's Degree,Senior Data Scientist,10.0,188590
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,89125
33.0,Female,Master's Degree,Director,18.0,322931
24.0,Male,Bachelor's Degree,Data Analyst,4.0,48019
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,83168
25.0,Female,Bachelor's Degree,Data Analyst,4.0,53640
30.0,Female,PhD,Senior Data Scientist,10.0,203379
29.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,84540
27.0,Female,Bachelor's Degree,Data Analyst,4.0,48393
33.0,Male,Master's Degree,Senior Data Scientist,10.0,178754
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,85848
26.0,Female,Bachelor's Degree,Data Analyst,4.0,50410
31.0,Male,Bachelor's Degree,Director,18.0,228467
30.0,Male,Master's Degree,Senior Software Engineer,7.0,109583
32.0,Female,Bachelor's Degree,Senior Data Scientist,10.0,155315
29.0,Male,Bachelor's Degree,Data Analyst,4.0,49151
35.0,Female,Bachelor's Degree,Director,18.0,218110
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,81087
28.0,Female,Master's Degree,Senior Data Scientist,10.0,172021
37.0,Male,PhD,Director,18.0,383389
26.0,Male,Bachelor's Degree,Data Analyst,4.0,49199
30.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,83169
31.0,Male,Master's Degree,Senior Data Scientist,10.0,196017
29.0,Female,Bachelor's Degree,Data Analyst,4.0,45349
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,87832
28.0,Female,Master's Degree,Senior Data Scientist,10.0,179853
34.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,84261
25.0,Female,Bachelor's Degree,Data Analyst,4.0,46103
30.0,Male,Bachelor's Degree,Director,18.0,244935
29.0,Female,Bachelor's Degree,Data Analyst,4.0,45187
31.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,81925
26.0,Female,Bachelor's Degree,Data Analyst,4.0,54132
33.0,Male,Master's Degree,Senior Data Scientist,10.0,183552
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82495
27.0,Female,Bachelor's Degree,Data Analyst,4.0,53660
30.0,Male,Master's Degree,Senior Software Engineer,7.0,116042
32.0,Female,Bachelor's Degree,Senior Data Scientist,10.0,139054
29.0,Male,Bachelor's Degree,Data Analyst,4.0,52309
35.0,Female,Bachelor's Degree,Director,18.0,246019
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,83821
28.0,Female,Master's Degree,Senior Data Scientist,10.0,206919
37.0,Male,PhD,Director,18.0,320212
26.0,Male,Bachelor's Degree,Data Analyst,4.0,46664
30.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,90303
31.0,Male,Master's Degree,Senior Data Scientist,10.0,173655
29.0,Female,Bachelor's Degree,Data Analyst,4.0,48147
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,93628
28.0,Female,Master's Degree,Senior Data Scientist,10.0,190822
34.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,89249
25.0,Female,Bachelor's Degree,Data Analyst,4.0,47092
30.0,Male,Bachelor's Degree,Director,18.0,213139
29.0,Female,Bachelor's Degree,Data Analyst,4.0,46751
31.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82724
26.0,Female,Bachelor's Degree,Data Analyst,4.0,47812
33.0,Male,Master's Degree,Senior Data Scientist,10.0,171609
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,79219
27.0,Female,Bachelor's Degree,Data Analyst,4.0,54085
30.0,Male,Master's Degree,Senior Software Engineer,7.0,110906
32.0,Female,Bachelor's Degree,Senior Data Scientist,10.0,136311
29.0,Male,Bachelor's Degree,Data Analyst,4.0,47880
35.0,Female,Bachelor's Degree,Director,18.0,231846
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,77785
28.0,Female,Master's Degree,Senior Data Scientist,10.0,176056
37.0,Male,PhD,Director,18.0,367397
26.0,Male,Bachelor's Degree,Data Analyst,4.0,45360
30.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,91296
31.0,Male,Master's Degree,Senior Data Scientist,10.0,186686
29.0,Female,Bachelor's Degree,Data Analyst,4.0,45562
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,91492
28.0,Female,Master's Degree,Senior Data Scientist,10.0,185284
34.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,93850
25.0,Female,Bachelor's Degree,Data Analyst,4.0,47667
30.0,Male,Bachelor's Degree,Director,18.0,220893
29.0,Female,Bachelor's Degree,Data Analyst,4.0,49883
31.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,80479
26.0,Female,Bachelor's Degree,Data Analyst,4.0,53104
33.0,Male,Master's Degree,Senior Data Scientist,10.0,180537
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,92672
27.0,Female,Bachelor's Degree,Data Analyst,4.0,50593
30.0,Male,Master's Degree,Senior Software Engineer,7.0,102443
32.0,Female,Bachelor's Degree,Senior Data Scientist,10.0,143787
29.0,Male,Bachelor's Degree,Data Analyst,4.0,53661
35.0,Female,Bachelor's Degree,Director,18.0,238112
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82342
28.0,Female,Master's Degree,Senior Data Scientist,10.0,172575
37.0,Male,PhD,Director,18.0,384771
26.0,Male,Bachelor's Degree,Data Analyst,4.0,54104
30.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,86502
31.0,Male,Master's Degree,Senior Data Scientist,10.0,196345
29.0,Female,Bachelor's Degree,Data Analyst,4.0,49113
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,94295
28.0,Female,Master's Degree,Senior Data Scientist,10.0,195080
34.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,83079
25.0,Female,Bachelor's Degree,Data Analyst,4.0,50612
30.0,Male,Bachelor's Degree,Director,18.0,221946
29.0,Female,Bachelor's Degree,Data Analyst,4.0,50252
31.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,88766
26.0,Female,Bachelor's Degree,Data Analyst,4.0,49895
33.0,Male,Master's Degree,Senior Data Scientist,10.0,177377
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,82282
27.0,Female,Bachelor's Degree,Data Analyst,4.0,50335
30.0,Male,Master's Degree,Senior Software Engineer,7.0,105680
32.0,Female,Bachelor's Degree,Senior Data Scientist,10.0,160041
29.0,Male,Bachelor's Degree,Data Analyst,4.0,52717
35.0,Female,Bachelor's Degree,Director,18.0,214484
27.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,78238
28.0,Female,Master's Degree,Senior Data Scientist,10.0,200364
37.0,Male,PhD,Director,18.0,356764
26.0,Male,Bachelor's Degree,Data Analyst,4.0,50504
30.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,80886
31.0,Male,Master's Degree,Senior Data Scientist,10.0,181961
29.0,Female,Bachelor's Degree,Data Analyst,4.0,50934
32.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,94178
28.0,Female,Master's Degree,Senior Data Scientist,10.0,205531
34.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,90615
25.0,Female,Bachelor's Degree,Data Analyst,4.0,50581
30.0,Male,Bachelor's Degree,Director,18.0,228246
28.0,Male,Bachelor's Degree,Lead Software Engineer,12.0,185195
44.0,Male,PhD,Principal Software Engineer,18.0,107658
33.0,Female,Master's Degree,Software Engineer,5.0,66478
50.0,Male,PhD,Principal Software Engineer,16.0,111354
27.0,Female,Master's Degree,Software Engineer,3.0,50040
25.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,36988
35.0,Male,Master's Degree,Lead Software Engineer,12.0,239015
47.0,Female,PhD,Lead Software Engineer,12.0,89913
46.0,Female,Master's Degree,Principal Software Engineer,13.0,75184
32.0,Male,Bachelor's Degree,Software Engineer,4.0,41140
61.0,Male,PhD,Principal Software Engineer,20.0,114224
41.0,Male,Master's Degree,Lead Software Engineer,12.0,254635
37.0,Male,Master's Degree,Lead Software Engineer,9.0,77059
53.0,Male,PhD,Principal Software Engineer,19.0,109900
30.0,Female,Bachelor's Degree,Junior Software Engineer,2.0,40800
26.0,Female,Master's Degree,Software Engineer,3.0,55437
37.0,Female,Master's Degree,Lead Software Engineer,12.0,224846
32.0,Male,Bachelor's Degree,Software Engineer,5.0,47546
44.0,Female,Master's Degree,Lead Software Engineer,12.0,245983
50.0,Female,PhD,Principal Software Engineer,16.0,111011
27.0,Male,Bachelor's Degree,Software Engineer,4.0,42394
42.0,Male,PhD,Principal Software Engineer,14.0,104224
57.0,Male,PhD,Principal Software Engineer,18.0,112700
35.0,Male,Master's Degree,Lead Software Engineer,12.0,262524
62.0,Male,PhD,Principal Software Engineer,19.0,99137
26.0,Female,Master's Degree,Junior Software Engineer,2.0,50807
42.0,Female,Master's Degree,Lead Software Engineer,11.0,75849
41.0,Female,PhD,Principal Software Engineer,14.0,93962
36.0,Female,Master's Degree,Senior Software Engineer,8.0,75243
49.0,Male,PhD,Principal Software Engineer,15.0,112912
49.0,Male,PhD,Principal Software Engineer,15.0,100752
47.0,Male,PhD,Principal Software Engineer,15.0,103364
47.0,Male,PhD,Lead Software Engineer,12.0,273431
26.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,39664
24.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,39100
62.0,Male,PhD,Principal Software Engineer,20.0,99010
42.0,Male,PhD,Lead Software Engineer,12.0,280402
41.0,Female,Master's Degree,Lead Software Engineer,11.0,72422
23.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,39284
55.0,Male,PhD,Principal Software Engineer,17.0,101656
26.0,Female,Master's Degree,Software Engineer,3.0,49115
33.0,Female,Bachelor's Degree,Software Engineer,5.0,50275
31.0,Male,Master's Degree,Senior Software Engineer,6.0,58520
50.0,Female,PhD,Principal Software Engineer,16.0,116067
24.0,Female,Master's Degree,Junior Software Engineer,1.0,50473
56.0,Male,PhD,Principal Software Engineer,17.0,98124
24.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,36443
37.0,Male,Master's Degree,Lead Software Engineer,12.0,256036
43.0,Female,PhD,Principal Software Engineer,13.0,103350
44.0,Female,Master's Degree,Lead Software Engineer,12.0,227855
34.0,Male,Master's Degree,Senior Software Engineer,6.0,60032
45.0,Male,PhD,Principal Software Engineer,15.0,101718
29.0,Male,Bachelor's Degree,Software Engineer,3.0,38429
29.0,Male,Bachelor's Degree,Software Engineer,3.0,37478
29.0,Female,Bachelor's Degree,Software Engineer,3.0,43497
48.0,Male,PhD,Principal Software Engineer,16.0,117011
43.0,Female,Master's Degree,Lead Software Engineer,11.0,71765
62.0,Male,PhD,Principal Software Engineer,19.0,104430
54.0,Male,PhD,Principal Software Engineer,17.0,112384
60.0,Male,PhD,Principal Software Engineer,18.0,114742
54.0,Female,PhD,Principal Software Engineer,14.0,92505
27.0,Female,Master's Degree,Software Engineer,3.0,52396
23.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,37344
45.0,Male,PhD,Lead Software Engineer,12.0,264242
32.0,Female,Master's Degree,Software Engineer,5.0,61883
57.0,Male,PhD,Principal Software Engineer,16.0,109913
47.0,Male,PhD,Principal Software Engineer,14.0,98163
25.0,Female,Master's Degree,Junior Software Engineer,2.0,49866
58.0,Male,PhD,Principal Software Engineer,17.0,117973
41.0,Female,Master's Degree,Lead Software Engineer,12.0,225838
41.0,Male,PhD,Lead Software Engineer,12.0,94787
26.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,43968
47.0,Male,PhD,Lead Software Engineer,12.0,297080
24.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,32893
48.0,Male,PhD,Principal Software Engineer,16.0,117988
32.0,Male,Bachelor's Degree,Software Engineer,5.0,49421
61.0,Male,PhD,Principal Software Engineer,20.0,104233
45.0,Male,PhD,Principal Software Engineer,14.0,92510
50.0,Female,PhD,Principal Software Engineer,16.0,101080
53.0,Male,PhD,Principal Software Engineer,18.0,115558
47.0,Female,PhD,Lead Software Engineer,12.0,293958
23.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,38999
33.0,Male,Master's Degree,Senior Software Engineer,6.0,65243
42.0,Male,PhD,Principal Software Engineer,14.0,103581
45.0,Male,PhD,Principal Software Engineer,14.0,100103
23.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,39002
37.0,Male,Master's Degree,Lead Software Engineer,12.0,224496
44.0,Female,Master's Degree,Lead Software Engineer,12.0,84862
54.0,Male,PhD,Principal Software Engineer,17.0,105503
38.0,Female,Master's Degree,Lead Software Engineer,10.0,68775
34.0,Male,Master's Degree,Senior Software Engineer,6.0,61192
46.0,Female,PhD,Principal Software Engineer,14.0,97618
30.0,Male,Bachelor's Degree,Software Engineer,4.0,42638
44.0,Female,Master's Degree,Lead Software Engineer,12.0,227906
27.0,Female,Master's Degree,Software Engineer,3.0,55072
42.0,Male,PhD,Principal Software Engineer,14.0,89216
27.0,Male,Bachelor's Degree,Software Engineer,3.0,42595
54.0,Male,PhD,Principal Software Engineer,18.0,111036
38.0,Male,Master's Degree,Lead Software Engineer,12.0,229308
31.0,Male,Master's Degree,Senior Software Engineer,6.0,56587
28.0,Female,Master's Degree,Software Engineer,4.0,51523
30.0,Female,Master's Degree,Senior Software Engineer,6.0,64329
54.0,Male,PhD,Principal Software Engineer,16.0,103862
62.0,Male,PhD,Principal Software Engineer,20.0,97734
62.0,Male,PhD,Principal Software Engineer,19.0,116688
37.0,Male,Master's Degree,Lead Software Engineer,12.0,258321
31.0,Male,Master's Degree,Lead Software Engineer,12.0,222383
58.0,Female,PhD,Principal Software Engineer,17.0,105421
56.0,Male,PhD,Principal Software Engineer,17.0,101595
23.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,35639
49.0,Male,PhD,Principal Software Engineer,15.0,108550
32.0,Female,Master's Degree,Software Engineer,5.0,64136
52.0,Female,PhD,Principal Software Engineer,16.0,104163
32.0,Female,Master's Degree,Senior Software Engineer,6.0,59245
50.0,Female,PhD,Principal Software Engineer,16.0,115257
32.0,Male,Master's Degree,Senior Software Engineer,6.0,57086
34.0,Male,Master's Degree,Senior Software Engineer,7.0,62171
28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,42343
44.0,Male,Master's Degree,Lead Software Engineer,11.0,79126
55.0,Male,PhD,Principal Software Engineer,17.0,99628
27.0,Male,Bachelor's Degree,Software Engineer,3.0,39903
46.0,Male,PhD,Principal Software Engineer,14.0,87303
27.0,Female,Master's Degree,Junior Software Engineer,2.0,54431
45.0,Male,PhD,Principal Software Engineer,14.0,94628
23.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,35196
36.0,Female,Master's Degree,Senior Software Engineer,8.0,68675
47.0,Female,PhD,Lead Software Engineer,12.0,281649
33.0,Male,Master's Degree,Senior Software Engineer,6.0,67173
43.0,Male,PhD,Principal Software Engineer,13.0,100398
30.0,Male,Bachelor's Degree,Software Engineer,4.0,40313
28.0,Female,Bachelor's Degree,Junior Software Engineer,2.0,40876
43.0,Male,Master's Degree,Lead Software Engineer,12.0,83374
43.0,Male,PhD,Principal Software Engineer,13.0,89812
36.0,Male,Master's Degree,Lead Software Engineer,12.0,246663
24.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,34988
28.0,Female,Bachelor's Degree,Software Engineer,3.0,43304
37.0,Male,Master's Degree,Lead Software Engineer,12.0,256917
41.0,Female,PhD,Principal Software Engineer,14.0,89492
26.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,43281
28.0,Female,Master's Degree,Software Engineer,3.0,50968
43.0,Male,PhD,Lead Software Engineer,12.0,287477
42.0,Male,PhD,Lead Software Engineer,12.0,258147
48.0,Male,PhD,Principal Software Engineer,16.0,106226
27.0,Female,Master's Degree,Junior Software Engineer,2.0,54560
49.0,Male,PhD,Principal Software Engineer,15.0,117669
44.0,Male,PhD,Lead Software Engineer,12.0,94905
27.0,Female,Master's Degree,Software Engineer,3.0,56594
37.0,Male,Master's Degree,Lead Software Engineer,12.0,244909
44.0,Female,Master's Degree,Lead Software Engineer,12.0,78050
56.0,Male,PhD,Principal Software Engineer,18.0,111248
49.0,Male,PhD,Principal Software Engineer,15.0,107753
27.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,39871
48.0,Male,PhD,Principal Software Engineer,16.0,100331
31.0,Male,Master's Degree,Senior Software Engineer,7.0,66186
25.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,34105
50.0,Male,PhD,Principal Software Engineer,16.0,109514
46.0,Male,PhD,Principal Software Engineer,14.0,90980
33.0,Male,Master's Degree,Senior Software Engineer,6.0,58944
42.0,Male,PhD,Lead Software Engineer,12.0,272632
41.0,Male,PhD,Lead Software Engineer,12.0,87299
43.0,Male,PhD,Principal Software Engineer,13.0,93907
32.0,Male,Master's Degree,Senior Software Engineer,6.0,60333
24.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,35927
44.0,Female,Master's Degree,Lead Software Engineer,12.0,255044
36.0,Male,Master's Degree,Lead Software Engineer,12.0,225406
28.0,Female,Master's Degree,Software Engineer,4.0,49823
28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,37708
37.0,Male,Master's Degree,Lead Software Engineer,12.0,247294
54.0,Male,PhD,Principal Software Engineer,16.0,101839
58.0,Male,PhD,Principal Software Engineer,17.0,105864
27.0,Male,Bachelor's Degree,Software Engineer,3.0,38802
30.0,Male,Bachelor's Degree,Software Engineer,4.0,36543
27.0,Female,Master's Degree,Software Engineer,3.0,50377
54.0,Male,PhD,Principal Software Engineer,17.0,113416
49.0,Male,PhD,Principal Software Engineer,15.0,100874
38.0,Male,Master's Degree,Lead Software Engineer,12.0,255286
54.0,Male,PhD,Principal Software Engineer,18.0,110826
31.0,Male,Master's Degree,Senior Software Engineer,6.0,62135
56.0,Male,PhD,Principal Software Engineer,17.0,111218
31.0,Male,Master's Degree,Lead Software Engineer,12.0,256272
42.0,Male,PhD,Lead Software Engineer,12.0,263825
44.0,Male,Master's Degree,Lead Software Engineer,11.0,78573
37.0,Male,Master's Degree,Lead Software Engineer,12.0,223560
24.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,33654
27.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,36014
42.0,Male,PhD,Lead Software Engineer,12.0,262983
24.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,36493
28.0,Female,Bachelor's Degree,Software Engineer,3.0,43285
43.0,Male,PhD,Principal Software Engineer,13.0,87347
31.0,Male,Master's Degree,Senior Software Engineer,7.0,67940
43.0,Male,PhD,Principal Software Engineer,13.0,98789
27.0,Female,Master's Degree,Junior Software Engineer,2.0,51271
49.0,Male,PhD,Principal Software Engineer,15.0,100788
48.0,Male,PhD,Principal Software Engineer,16.0,118539
30.0,Female,Master's Degree,Senior Software Engineer,6.0,65373
28.0,Female,Master's Degree,Software Engineer,4.0,50756
46.0,Male,PhD,Principal Software Engineer,14.0,86580
37.0,Male,Master's Degree,Lead Software Engineer,12.0,261499
42.0,Male,PhD,Lead Software Engineer,12.0,264461
43.0,Male,PhD,Lead Software Engineer,12.0,103092
31.0,Male,Master's Degree,Lead Software Engineer,12.0,257681
56.0,Male,PhD,Principal Software Engineer,17.0,99106
37.0,Male,Master's Degree,Lead Software Engineer,12.0,252059
54.0,Male,PhD,Principal Software Engineer,16.0,103039
58.0,Male,PhD,Principal Software Engineer,17.0,104728
33.0,Male,Master's Degree,Senior Software Engineer,6.0,58424
29.0,Female,Bachelor's Degree,Software Engineer,3.0,36057
52.0,Male,PhD,Principal Software Engineer,18.0,117158
36.0,Male,Master's Degree,Senior Software Engineer,8.0,69015
26.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,43557
47.0,Male,PhD,Principal Software Engineer,16.0,108767
32.0,Male,Master's Degree,Senior Software Engineer,6.0,63132
29.0,Male,Bachelor's Degree,Software Engineer,3.0,38381
28.0,Female,Master's Degree,Software Engineer,3.0,55539
54.0,Male,PhD,Principal Software Engineer,16.0,113674
57.0,Male,PhD,Principal Software Engineer,18.0,106754
51.0,Male,PhD,Principal Software Engineer,16.0,114858
28.0,Female,Master's Degree,Software Engineer,4.0,52572
46.0,Male,PhD,Principal Software Engineer,14.0,95935
27.0,Female,Master's Degree,Junior Software Engineer,2.0,56366
45.0,Male,PhD,Principal Software Engineer,14.0,95818
23.0,Female,Bachelor's Degree,Junior Software Engineer,1.0,38569
36.0,Male,Master's Degree,Senior Software Engineer,7.0,62189
48.0,Male,PhD,Principal Software Engineer,16.0,101317
33.0,Female,Master's Degree,Software Engineer,5.0,65265
38.0,Female,Master's Degree,Lead Software Engineer,10.0,77491
51.0,Male,PhD,Principal Software Engineer,16.0,107967
27.0,Female,Master's Degree,Software Engineer,3.0,50483
37.0,Male,Master's Degree,Lead Software Engineer,12.0,229510
44.0,Female,Master's Degree,Lead Software Engineer,12.0,90993
27.0,Male,Bachelor's Degree,Software Engineer,3.0,42798
38.0,Male,Master's Degree,Lead Software Engineer,12.0,222292
54.0,Male,PhD,Principal Software Engineer,17.0,103546
49.0,Male,PhD,Principal Software Engineer,15.0,115700
27.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,41355
48.0,Male,PhD,Principal Software Engineer,16.0,111717
31.0,Male,Master's Degree,Senior Software Engineer,7.0,67644
25.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,33796
50.0,Male,PhD,Principal Software Engineer,16.0,110784
46.0,Male,PhD,Principal Software Engineer,14.0,95744
33.0,Male,Master's Degree,Senior Software Engineer,6.0,58619
42.0,Male,PhD,Lead Software Engineer,12.0,278483
41.0,Male,PhD,Lead Software Engineer,12.0,103293
43.0,Male,PhD,Principal Software Engineer,13.0,97909
32.0,Male,Master's Degree,Senior Software Engineer,6.0,60206
24.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,34179
44.0,Female,Master's Degree,Lead Software Engineer,12.0,256131
36.0,Male,Master's Degree,Lead Software Engineer,12.0,236979
28.0,Female,Master's Degree,Software Engineer,4.0,56429
28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,40281
37.0,Male,Master's Degree,Lead Software Engineer,12.0,247914
54.0,Male,PhD,Principal Software Engineer,16.0,98508
58.0,Male,PhD,Principal Software Engineer,17.0,111898
27.0,Male,Bachelor's Degree,Software Engineer,3.0,40684
30.0,Male,Bachelor's Degree,Software Engineer,4.0,43798
27.0,Female,Master's Degree,Software Engineer,3.0,56021
